Time,Station,Temperature,Moisture,Light,Wind Direction,PM2.5,PM10,CO,NOx,SO2
31/08/2023 23:59:00,SVDT1,26.1,98.9,0,108,1.1,4.8,2,0,0
31/08/2023 23:58:00,SVDT1,26.1,98.9,0,91,1.4,5.7,2,0,0
31/08/2023 23:57:00,SVDT1,26.1,98.8,0,140,1.1,4.3,2,0,0
31/08/2023 23:56:00,SVDT1,26.1,98.8,0,109,1.2,1.9,2,0,0
31/08/2023 23:55:00,SVDT1,26.1,98.8,0,92,1.1,1.9,2,0,0
31/08/2023 23:54:00,SVDT1,26.1,98.8,0,94,0.7,0.8,2,0,0
31/08/2023 23:53:00,SVDT1,26.1,98.8,0,75,0.9,1,2,0,0
31/08/2023 23:52:00,SVDT1,26.1,98.8,0,101,1.5,3.7,2,0,0
31/08/2023 23:51:00,SVDT1,26.1,98.8,0,98,1.5,8.9,2,0,0
31/08/2023 23:50:00,SVDT1,26.1,98.8,0,92,1.4,4.2,2,0,0
31/08/2023 23:49:00,SVDT1,26.1,98.8,0,74,0.8,1.2,2,0,0
31/08/2023 23:48:00,SVDT1,26.1,98.8,0,130,0.7,5.5,2,0,0
31/08/2023 23:47:00,SVDT1,26.1,98.8,0,99,0.8,1.5,2,0,0
31/08/2023 23:46:00,SVDT1,26.1,98.8,0,94,0.7,1.4,2,0,0
31/08/2023 23:45:00,SVDT1,26.1,98.8,0,98,1,5,2,0,0
31/08/2023 23:44:00,SVDT1,26.1,98.8,0,95,0.9,3,2,0,0
31/08/2023 23:43:00,SVDT1,26.1,98.8,0,90,1.1,1.8,2,0,0
31/08/2023 23:42:00,SVDT1,26,98.8,0,104,0.9,2.9,2,0,0
31/08/2023 23:41:00,SVDT1,26.1,98.8,0,92,2.4,7.1,2,0,0
31/08/2023 23:40:00,SVDT1,26.1,98.8,0,91,1,2.8,2,0,0
31/08/2023 23:39:00,SVDT1,26.1,98.8,0,88,0.8,1.3,2,0,0
31/08/2023 23:38:00,SVDT1,26.1,98.8,0,91,0.9,1.3,2,0,0
31/08/2023 23:37:00,SVDT1,26,98.8,0,97,0.7,0.9,2,0,0
31/08/2023 23:36:00,SVDT1,26.1,98.8,0,108,1,3.6,2,0,0
31/08/2023 23:35:00,SVDT1,26.1,98.8,0,107,0.6,1,2,0,0
31/08/2023 23:34:00,SVDT1,26,98.8,0,106,0.6,1.8,2,0,0
31/08/2023 23:33:00,SVDT1,26,98.8,0,101,0.4,0.4,2,0,0
31/08/2023 23:32:00,SVDT1,26,98.8,0,106,0.6,0.8,2,0,0
31/08/2023 23:31:00,SVDT1,26,98.8,0,116,1.3,3.8,2,0,0
31/08/2023 23:30:00,SVDT1,26,98.8,0,135,0.9,5.3,2,0,0
31/08/2023 23:29:00,SVDT1,26,98.7,0,111,0.7,0.7,2,0,0
31/08/2023 23:28:00,SVDT1,26,98.7,0,113,0.6,0.7,2,0,0
31/08/2023 23:27:00,SVDT1,26,98.7,0,104,1.1,1.4,2,0,0
31/08/2023 23:26:00,SVDT1,26,98.7,0,88,0.6,1,2,0,0
31/08/2023 23:25:00,SVDT1,26,98.7,0,95,0.6,0.8,2,0,0
31/08/2023 23:24:00,SVDT1,26,98.7,0,112,0.4,0.5,2,0,0
31/08/2023 23:23:00,SVDT1,26,98.7,0,131,0.6,0.8,2,0,0
31/08/2023 23:22:00,SVDT1,26,98.7,0,104,1,1.6,2,0,0
31/08/2023 23:21:00,SVDT1,26,98.7,0,109,0.4,0.5,2,0,0
31/08/2023 23:20:00,SVDT1,26,98.7,0,106,0.6,0.6,2,0,0
31/08/2023 23:19:00,SVDT1,26,98.7,0,96,0.8,1,2,0,0
31/08/2023 23:18:00,SVDT1,26,98.7,0,91,0.7,3,2,0,0
31/08/2023 23:17:00,SVDT1,26,98.7,0,89,0.4,0.4,2,0,0
31/08/2023 23:16:00,SVDT1,26,98.6,0,129,0.4,0.4,2,0,0
31/08/2023 23:15:00,SVDT1,26,98.6,0,104,0.6,0.6,2,0,0
31/08/2023 23:14:00,SVDT1,26,98.6,0,97,0.6,0.8,2,0,0
31/08/2023 23:13:00,SVDT1,26,98.6,0,93,0.9,3.2,2,0,0
31/08/2023 23:12:00,SVDT1,26,98.6,0,106,0.6,3.9,2,0,0
31/08/2023 23:11:00,SVDT1,26,98.6,0,204,0.6,2.7,2,0,0
31/08/2023 23:10:00,SVDT1,26,98.6,0,97,0.5,7.6,2,0,0
31/08/2023 23:09:00,SVDT1,26,98.6,0,159,0.6,0.8,2,0,0
31/08/2023 23:08:00,SVDT1,26,98.6,0,101,0.4,0.5,2,0,0
31/08/2023 23:07:00,SVDT1,26,98.6,0,92,0.5,0.6,2,0,0
31/08/2023 23:06:00,SVDT1,26,98.6,0,106,0.9,2.5,2,0,0
31/08/2023 23:05:00,SVDT1,26,98.5,0,208,0.4,0.4,2,0,0
31/08/2023 23:04:00,SVDT1,26,98.5,0,95,0.4,0.4,2,0,0
31/08/2023 23:03:00,SVDT1,26,98.5,0,158,0.4,0.8,2,0,0
31/08/2023 23:02:00,SVDT1,26,98.5,0,83,0.4,1.5,2,0,0
31/08/2023 23:01:00,SVDT1,26,98.5,0,96,0.8,6.8,2,0,0
31/08/2023 23:00:00,SVDT1,26,98.5,0,125,0.8,2.4,2,0,0
31/08/2023 22:59:00,SVDT1,26,98.5,0,115,0.7,0.8,2,0,0
31/08/2023 22:58:00,SVDT1,26,98.5,0,115,1.1,1.4,2,0,0
31/08/2023 22:57:00,SVDT1,26,98.5,0,135,0.6,1.2,2,0,0
31/08/2023 22:56:00,SVDT1,26,98.5,0,106,0.7,1.2,2,0,0
31/08/2023 22:55:00,SVDT1,26,98.5,0,77,0.9,4.8,2,0,0
31/08/2023 22:54:00,SVDT1,26,98.4,0,64,1.1,1.5,2,0,0
31/08/2023 22:53:00,SVDT1,26,98.4,0,111,0.7,2.2,2,0,0
31/08/2023 22:52:00,SVDT1,26,98.4,0,102,0.8,1,2,0,0
31/08/2023 22:51:00,SVDT1,26,98.4,0,79,0.6,0.7,2,0,0
31/08/2023 22:50:00,SVDT1,26,98.4,0,98,1.1,2.7,2,0,0
31/08/2023 22:49:00,SVDT1,26,98.4,0,127,0.3,0.4,2,0,0
31/08/2023 22:48:00,SVDT1,26,98.4,0,131,0.6,1,2,0,0
